member_id,date,contribution_amount,contribution_frequency,withdrawal_amount,balance
M001,2026-01-01,1731,Monthly,0,13224
M001,2026-02-01,1772,Monthly,1193,13803
M001,2026-03-01,1764,Monthly,574,14993
M001,2026-04-01,2030,Monthly,1609,15414
M001,2026-05-01,1966,Monthly,0,17380
M001,2026-06-01,1809,Monthly,1921,17268
M001,2026-07-01,1992,Monthly,0,19260
M002,2026-01-01,1645,Weekly,0,7532
M002,2026-02-01,1758,Weekly,0,9290
M002,2026-03-01,0,Weekly,0,9290
M002,2026-04-01,1494,Weekly,0,10784
M002,2026-05-01,0,Weekly,527,10257
M002,2026-06-01,0,Weekly,0,10257
M002,2026-07-01,1049,Weekly,0,11306
M003,2026-01-01,1957,Quarterly,0,15901
M003,2026-02-01,2234,Quarterly,0,18135
M003,2026-03-01,1233,Quarterly,0,19368
M003,2026-04-01,1542,Quarterly,0,20910
M003,2026-05-01,0,Quarterly,0,20910
M003,2026-06-01,1742,Quarterly,0,22652
M003,2026-07-01,2116,Quarterly,0,24768
M004,2026-01-01,1378,Weekly,0,6570
M004,2026-02-01,1141,Weekly,0,7711
M004,2026-03-01,0,Weekly,0,7711
M004,2026-04-01,1276,Weekly,0,8987
M004,2026-05-01,1350,Weekly,807,9530
M004,2026-06-01,908,Weekly,0,10438
M004,2026-07-01,919,Weekly,0,11357
M005,2026-01-01,2061,Monthly,0,15990
M005,2026-02-01,1805,Monthly,0,17795
M005,2026-03-01,1909,Monthly,0,19704
M005,2026-04-01,1530,Monthly,0,21234
M005,2026-05-01,1815,Monthly,1672,21377
M005,2026-06-01,1950,Monthly,1719,21608
M005,2026-07-01,2228,Monthly,512,23324
